photo_a,photo_b,breed_a,breed_b,pile_a,pile_b,dhash_distance,phash_distance,confirmed_copy,exact_copy,same_breed,crosses_piles,pile_pair
n02085782-Japanese_spaniel/n02085782_186.jpg,n02086646-Blenheim_spaniel/n02086646_172.jpg,n02085782-Japanese_spaniel,n02086646-Blenheim_spaniel,val,train,0,0,True,True,False,True,train-val
n02085782-Japanese_spaniel/n02085782_2459.jpg,n02097474-Tibetan_terrier/n02097474_1962.jpg,n02085782-Japanese_spaniel,n02097474-Tibetan_terrier,train,train,0,0,True,False,False,False,train-train
n02085782-Japanese_spaniel/n02085782_2655.jpg,n02085782-Japanese_spaniel/n02085782_2796.jpg,n02085782-Japanese_spaniel,n02085782-Japanese_spaniel,train,train,0,0,True,False,True,False,train-train
n02085782-Japanese_spaniel/n02085782_313.jpg,n02086646-Blenheim_spaniel/n02086646_280.jpg,n02085782-Japanese_spaniel,n02086646-Blenheim_spaniel,train,train,0,0,True,True,False,False,train-train
n02085782-Japanese_spaniel/n02085782_381.jpg,n02102040-English_springer/n02102040_639.jpg,n02085782-Japanese_spaniel,n02102040-English_springer,train,train,0,0,True,True,False,False,train-train
n02085782-Japanese_spaniel/n02085782_50.jpg,n02086910-papillon/n02086910_103.jpg,n02085782-Japanese_spaniel,n02086910-papillon,train,train,0,0,True,True,False,False,train-train
n02086240-Shih-Tzu/n02086240_3921.jpg,n02097474-Tibetan_terrier/n02097474_7300.jpg,n02086240-Shih-Tzu,n02097474-Tibetan_terrier,train,train,0,0,True,True,False,False,train-train
n02086646-Blenheim_spaniel/n02086646_1445.jpg,n02086646-Blenheim_spaniel/n02086646_422.jpg,n02086646-Blenheim_spaniel,n02086646-Blenheim_spaniel,train,train,0,0,True,True,True,False,train-train
n02088466-bloodhound/n02088466_7015.jpg,n02088466-bloodhound/n02088466_8078.jpg,n02088466-bloodhound,n02088466-bloodhound,train,train,0,0,True,True,True,False,train-train
n02088466-bloodhound/n02088466_7462.jpg,n02090379-redbone/n02090379_3300.jpg,n02088466-bloodhound,n02090379-redbone,val,train,0,0,True,True,False,True,train-val
n02088632-bluetick/n02088632_4334.jpg,n02088632-bluetick/n02088632_4584.jpg,n02088632-bluetick,n02088632-bluetick,train,train,0,0,True,True,True,False,train-train
n02088632-bluetick/n02088632_4360.jpg,n02088632-bluetick/n02088632_600.jpg,n02088632-bluetick,n02088632-bluetick,train,train,0,0,True,True,True,False,train-train
n02088632-bluetick/n02088632_819.jpg,n02088632-bluetick/n02088632_982.jpg,n02088632-bluetick,n02088632-bluetick,train,train,0,0,True,True,True,False,train-train
n02089078-black-and-tan_coonhound/n02089078_19.jpg,n02089078-black-and-tan_coonhound/n02089078_3078.jpg,n02089078-black-and-tan_coonhound,n02089078-black-and-tan_coonhound,val,train,0,4,True,False,True,True,train-val
